Identificador de URL;Nombre;Categorías;Nombre de propiedad 1;Valor de propiedad 1;Nombre de propiedad 2;Valor de propiedad 2;Nombre de propiedad 3;Valor de propiedad 3;Precio;Precio promocional;Peso (kg);Alto (cm);Ancho (cm);Profundidad (cm);Stock;SKU;Código de barras;Mostrar en tienda;Envío sin cargo;Descripción;Tags;Título para SEO;Descripción para SEO;Marca;Producto Físico;MPN (Número de pieza del fabricante);Sexo;Rango de edad;Costo
tracer-brighter-r;Tracer Brighter R;Tracers;;;;;;;135000.00;;;;;;4;RR0100;;SI;NO;<p>Unidad trazadora <strong>Acetech Brighter R</strong>, compacta y recargable. Activa por movimiento (shake to wake). Compatible con BBs trazadores verdes y rojos. Carga vía USB-C.</p><ul><li>Rosca: M14- / M11+ (adaptador incluido)</li><li>Dimensiones: 57 mm × 28 mm</li><li>Peso: 33,2 g</li><li>Material: aluminio</li><li>Capacidad: ~20.000 disparos por carga</li></ul>;Tracers;;;;SI;;;;
tracer-brighter-c-titanium;Tracer Brighter C Titanium;Tracers;;;;;;;150000.00;;;;;;1;RR0018;;SI;NO;<p>Unidad trazadora <strong>Acetech Brighter C Titanium Rainbow Edition</strong>. Carcasa de titanio acabado arcoíris, diseño ultraliviano sin interruptores. Protección IP64 y activación automática por disparo.</p><ul><li>Material: titanio anodizado</li><li>Protección: IP64</li><li>Activación: automática</li><li>Rosca: M14-</li></ul>;Tracers;;;ACETECH;SI;;;;
tracer-blaster-c;Tracer Blaster C;Tracers;;;;;;;137700.00;;;;;;8;RR0017;;SI;NO;<p>Unidad trazadora <strong>Acetech Blaster C</strong>. Simula el destello de boca con efecto flash. Rosca M14- con adaptador M11+. Control de potencia inteligente y modo de ahorro de energía.</p><ul><li>Rosca: M14- (adaptador M11+ incluido)</li><li>Función: flash de boca</li><li>Control: potencia inteligente</li></ul>;Tracers;;;ACETECH;SI;;;;
tracer-bifrost-r;Tracer Bifrost R;Tracers;;;;;;;156000.00;;;;;;5;RR0019;;SI;NO;<p>Unidad trazadora <strong>Acetech Bifrost R</strong> con efecto de llama multicolor. Compatible con BBs estándar, trazadoras verdes y de gel. Carga por USB-C.</p><ul><li>Efecto: llama multicolor</li><li>Compatibilidad: BBs estándar, trazadoras y de gel</li><li>Carga: USB-C</li><li>Control: potencia inteligente</li></ul>;Tracers;;;ACETECH;SI;;;;
tokyo-marui-gbb-hi-capa-5-1-governament-blowback;Tokyo Marui GBB Hi-Capa 5.1 Governament Blowback;Marcadoras > Pistolas;;;;;;;426000.00;;;;;;10;RR0117;;SI;NO;<p>Pistola <strong>Tokyo Marui Hi-Capa 5.1 Government GBB</strong>. Corredera y armazón de polímero reforzado. Mira trasera ajustable y delantera de fibra óptica. Modo de disparo semi.</p><ul><li>Sistema: Gas Blowback (GBB)</li><li>Material: polímero</li><li>Mira delantera: fibra óptica</li><li>Mira trasera: ajustable</li><li>Modo: semiautomático</li></ul>;Tokyo Marui,Marcadoras;;;;SI;;;;
taran-tactical-jag-precision-army-armament-gbb-hi-capa-jw4-tti-sand-viper-cnc-bl;Taran Tactical Jag Precision Army Armament GBB Hi-Capa JW4 TTI Sand Viper CNC Blowback;Marcadoras > Pistolas;;;;;;;400000.00;;;;;;10;RR0120;;SI;NO;"<p>Pistola <strong>Army Armament Hi-Capa JW4 TTI Sand Viper</strong> con licencia oficial Taran Tactical. Inspirada en ""John Wick 4"". Corredera CNC mejorada con corte para óptica RMR y punteado de agarre de alta calidad.</p><ul><li>Sistema: Gas Blowback (GBB)</li><li>Corredera: CNC con corte RMR</li><li>Magwell: táctico</li><li>Seguro: ambidiestro</li><li>Cargador: hasta 45 BBs (cargador largo)</li><li>Longitud total: 250 mm</li></ul>";Taran Tactical,Marcadoras;;;;SI;;;;
taran-tactical-jag-precision-army-armament-gbb-hi-capa-jw4-tti-alpha-combat-mast;Taran Tactical Jag Precision Army Armament GBB Hi-Capa JW4 TTI Alpha Combat Master Blowback;Marcadoras > Pistolas;;;;;;;410000.00;;;;;;10;RR0119;;SI;NO;<p>Pistola <strong>Army Armament Hi-Capa JW4 TTI Alpha Combat Master</strong> con licencia oficial Taran Tactical. Corredera con corte para óptica RMR, cargador double stack, magwell táctico y empuñadura Hi-Capa cosida a mano.</p><ul><li>Sistema: Gas Blowback (GBB)</li><li>Corredera: corte para óptica RMR</li><li>Seguro: ambidiestro</li><li>Capacidad: hasta 45 BBs (cargador largo)</li><li>Longitud total: 250 mm</li></ul>;Taran Tactical,Marcadoras;;;;SI;;;;
taran-tactical-gbb-hi-capa-jw4-tti-pit-viper-blowback;Taran Tactical GBB Hi-Capa JW4 TTI Pit Viper Blowback;Marcadoras > Pistolas;;;;;;;370000.00;;;;;;10;RR0118;;SI;NO;"<p>Pistola <strong>Army Armament Hi-Capa JW4 TTI Pit Viper</strong> con licencia oficial Taran Tactical. Inspirada en ""John Wick"". Punteado de agarre de alta calidad mecanizado, superficies de control ampliadas y seguros ambidiestros.</p><ul><li>Sistema: Gas Blowback (GBB)</li><li>Empuñadura: punteado CNC de alta calidad</li><li>Seguro: ambidiestro</li><li>Magwell: táctico</li></ul>";Taran Tactical,Marcadoras;;;;SI;;;;
ssr4-mk1-gen-2-novritsch;SSR4 MK1 Gen 2 Novritsch;Marcadoras > Primarias;;;;;;;675000.00;;;;;;2;RR0099;;SI;NO;<p>Marcadora <strong>Novritsch SSR4 MK1 Gen 2</strong> AEG con ETU programable. Engranajes CNC de alta velocidad (16:1) alcanzan 22 disparos/segundo con batería 11,1 V. Cañón de precisión 6,03 mm.</p><ul><li>Sistema: AEG con ETU</li><li>Cadencia: 22 rps (11,1 V)</li><li>Engranajes: CNC 16:1</li><li>Cañón: precisión 6,03 mm</li><li>Material: polímero reforzado</li><li>Riel: Picatinny superior + guardamanos ranurado</li></ul>;Novritsch,Marcadoras;;;NOVRITSCH;SI;;;;
rifle-kwa-mp9-gas-submachine-negra;Rifle KWA MP9 Gas Submachine Negra;Marcadoras > Primarias;;;;;;;795000.00;;;;;;2;RR0101;;SI;NO;<p>Subfusil <strong>KWA KMP9</strong> Gas Blowback, réplica del Brügger & Thomet MP9. Sistema NS2 propietario con blowback potente y alta cadencia. Modos semi y full auto.</p><ul><li>Sistema: Gas Blowback (NS2)</li><li>Calibre: 6 mm BB</li><li>Capacidad del cargador: 48 BBs</li><li>Velocidad: 300–330 FPS (BB 0,20 g)</li><li>Peso con cargador: 1,68 kg</li><li>Longitud plegado: 310 mm / extendido: 530 mm</li></ul>;KWA,Marcadoras;;;;SI;;;;
resorte-m90-spring;Resorte M90 Spring;Repuestos y mejoras;;;;;;;22000.00;;;;;;49;RR0121;;SI;NO;<p>Resorte M90 de repuesto para AEG. Corresponde a una potencia aproximada de 280–300 FPS con BB 0,20 g. Apto para la mayoría de gearboxes estándar V2/V3.</p><ul><li>Tensión: M90 (~280–300 FPS)</li><li>Compatibilidad: gearboxes AEG V2/V3</li></ul>;Repuestos y mejoras;;;;SI;;;;
radio-baofeng-uv-5r;Radio Baofeng UV-5R;Comunicaciones > Radios;;;;;;;43000.00;;;;;;6;RR0110;;SI;NO;<p>Radio portátil <strong>Baofeng UV-5R</strong> bibanda VHF/UHF. Transmite en 136–174 MHz y 400–520 MHz. Batería de larga duración incluida, carga por USB.</p><ul><li>Bandas: VHF 136–174 MHz / UHF 400–520 MHz</li><li>Potencia: 5 W / 1 W</li><li>Batería: Li-Ion incluida</li></ul>;Baofeng,Comunicaciones;;;;SI;;;;
puff-dino-verde-gas-600ml;Puff Dino Verde Gas 600ML;Munición y gas > Gas propelente;;;;;;;25000.00;;;;;;29;RR0030;;SI;NO;<p>Gas verde <strong>Puff Dino</strong> 600 ml fabricado en Taiwán bajo ISO 9001. Mezcla de gas de alta calidad con aceite de silicona para lubricar y mejorar el rendimiento de cada disparo.</p><ul><li>Contenido: 600 ml</li><li>Silicona: mezclada</li><li>Certificación: ISO 9001</li></ul>;Puff Dino,Munición y gas;;;;SI;;;;
protector-de-mira;Protector de Mira;Accesorios > Rieles y monturas;;;;;;;33000.00;;;;;;2;RR0065;;SI;NO;<p>Protector de mira tipo flip-cap para rieles Picatinny. Cubre la lente óptica de impactos de BBs. Apertura rápida con resorte.</p><ul><li>Montaje: riel Picatinny</li><li>Material: polímero</li></ul>;Accesorios;;;MARG;SI;;;;
pouch-radio;Pouch Radio;Comunicaciones > Radios;;;;;;;13400.00;;;;;;4;RR0064;;SI;NO;<p>Pouch para radio de comunicaciones táctica. Compatible con sistema MOLLE para fijar en chaleco o cinturón. Cierre con velcro y aro de retención.</p><ul><li>Sistema de fijación: MOLLE</li><li>Cierre: velcro</li></ul>;Comunicaciones;;;MARG;SI;;;;
pouch-bolsa-de-descarte;Pouch Bolsa de Descarte;Equipamiento táctico > Pouches;;;;;;;44500.00;;;;;;5;RR0063;;SI;NO;<p>Bolsa de descarte táctica para cargadores vacíos durante la partida. Apertura amplia y cierre elástico para descarte rápido. Compatible con sistema MOLLE.</p><ul><li>Sistema de fijación: MOLLE</li><li>Apertura: elástica para descarte rápido</li></ul>;Equipamiento táctico;;;MARG;SI;;;;
pistola-we-gen-5-tan;Pistola WE Gen 5 Tan;Marcadoras > Pistolas;;;;;;;330000.00;;;;;;1;RR0050;;SI;NO;<p>Pistola <strong>WE Glock Gen 5</strong> GBB en color tan. Gas blowback con hop-up ajustable y diseño ergonómico. Corredera de metal y armazón de polímero.</p><ul><li>Sistema: Gas Blowback (GBB)</li><li>Calibre: 6 mm BB</li><li>Color: tan</li><li>Material: ABS + metal</li></ul>;WE,Marcadoras;;;We;SI;;;;
pistola-we-gbb-g17-ivory;Pistola WE GBB G17 Ivory;Marcadoras > Pistolas;;;;;;;300000.00;;;;;;1;RR0048;;SI;NO;<p>Pistola <strong>WE G17 GBB Ivory</strong>. Acabado bicolor negro/bronce. Gas blowback con hop-up ajustable.</p><ul><li>Fabricante: WE</li><li>Material: ABS y metal</li><li>Peso: 700 g</li><li>Longitud: 180 mm</li><li>Velocidad: 280–300 FPS</li><li>Calibre: 6 mm BB</li><li>Blowback: sí</li><li>Hop-Up: sí</li></ul>;WE,Marcadoras;;;;SI;;;;
pistola-sig-sauer-f226-negra;Pistola SIG Sauer F226 Negra;Marcadoras > Pistolas;;;;;;;345000.00;;;;;;1;RR0051;;SI;NO;<p>Pistola <strong>SIG Sauer F226</strong> GBB negra. Réplica de la P226 con sistema de gas blowback y empuñadura ergonómica. Construcción en ABS y metal.</p><ul><li>Sistema: Gas Blowback (GBB)</li><li>Calibre: 6 mm BB</li><li>Material: ABS + metal</li><li>Empuñadura: ergonómica</li></ul>;SIG Sauer,Marcadoras;;;We;SI;;;;
pistola-glock-we-gen-4-bicolor;Pistola Glock WE Gen 4 Bicolor;Marcadoras > Pistolas;;;;;;;330000.00;;;;;;3;RR0077;;SI;NO;<p>Pistola <strong>WE Glock Gen 4</strong> GBB bicolor. Corredera en negro con armazón en color contrastante. Sistema Gas Blowback con hop-up ajustable.</p><ul><li>Sistema: Gas Blowback (GBB)</li><li>Calibre: 6 mm BB</li><li>Capacidad: 24 BBs</li><li>Velocidad: ~310 FPS (BB 0,20 g)</li><li>Material: ABS + metal</li></ul>;WE,Glock,Marcadoras;;;;SI;;;;
parches;Parches;Accesorios > Parches;;;;;;;6700.00;;;;;;30;RR0056;;SI;NO;<p>Parches tácticos en variedad de modelos y motivos. Con respaldo de velcro para fijar en uniforme, chaleco o mochila.</p><ul><li>Fijación: velcro</li><li>Modelos: variados</li></ul>;Accesorios;;;MARG;SI;;;;
odin-pts;Odin PTS;Repuestos y mejoras;;;;;;;89100.00;;;;;;6;RR0109;;SI;NO;"<p>Cargadora rápida <strong>PTS Odin M12 Sidewinder</strong>. Carga cualquier cargador M4 de media capacidad en menos de 5 segundos con una sola vuelta de manivela. Compacta, entra en pouch doble de M4.</p><ul><li>Compatible: cargadores M4 midcap</li><li>Tiempo de carga: &lt;5 seg por cargador</li><li>Capacidad del sidewinder: 12 cargadores midcap</li></ul>";PTS,Repuestos y mejoras;;;;SI;;;;
novritsch-tp22;Novritsch TP22;Marcadoras > Pistolas;;;;;;;495000.00;;;;;;10;RR0012;;SI;NO;<p>Pistola <strong>Novritsch TP22</strong> GBB. Semi y full auto conmutables, placa de punto rojo universal integrada y ajuste de hop-up superior sin esfuerzo.</p><ul><li>Sistema: Gas Blowback (GBB)</li><li>Modos: semi / full auto</li><li>Montura: punto rojo universal integrada</li><li>Hop-Up: ajuste superior</li></ul>;Novritsch,Marcadoras;;;NOVRITSCH;SI;;;;
novritsch-ssp5;Novritsch SSP5;Marcadoras > Pistolas;PULGADAS;"4.3""";;;;;682500.00;;;;;;2;RR0008;;SI;NO;<p>Pistola <strong>Novritsch SSP5</strong> GBB de alta precisión. Cañón interno 6,01 mm con cámara de una pieza PMS. Internos CNC y conjunto de gatillo de acero.</p><ul><li>Sistema: Gas Blowback (GBB)</li><li>Cañón: 6,01 mm (precisión)</li><li>BBs recomendados: 0,40 g+</li><li>Gatillo: acero CNC</li></ul>;Novritsch,Marcadoras;;;NOVRITSCH;SI;;;;
novritsch-ssp5;;;PULGADAS;"5.1""";;;;;762000.00;;;;;;1;RR0008;;;;;;;;;SI;;;;
novritsch-ssp5;;;PULGADAS;"6.0""";;;;;817500.00;;;;;;0;RR0008;;;;;;;;;SI;;;;
novritsch-ssp28;Novritsch SSP28;Marcadoras > Pistolas;;;;;;;630000.00;;;;;;10;RR0011;;SI;NO;<p>Pistola <strong>Novritsch SSP28</strong> GBB, 28 disparos por segundo. Corredera dividida liviana que minimiza el retroceso y maximiza la cadencia. Efectiva con BBs pesados y a larga distancia.</p><ul><li>Sistema: Gas Blowback (GBB)</li><li>Cadencia: 28 rps</li><li>Corredera: dividida ultraliviana</li><li>BBs recomendados: pesados</li></ul>;Novritsch,Marcadoras;;;NOVRITSCH;SI;;;;
novritsch-ssp18;Novritsch SSP18;Marcadoras > Pistolas;;;;;;;570000.00;;;;;;10;RR0007;;SI;NO;<p>Pistola <strong>Novritsch SSP18</strong> GBB. Semi/full auto a 17 disparos/segundo. Cañón de precisión 6,01 mm extendido con junta tórica estabilizada. Carcasa de aluminio con blowback.</p><ul><li>Sistema: Gas Blowback (GBB)</li><li>Modos: semi / full auto (17 rps)</li><li>Cañón: 6,01 mm extendido</li><li>BBs recomendados: 0,32 g</li><li>Material: aluminio</li><li>Cañón exterior: fijo FXB</li></ul>;Novritsch,Marcadoras;;;NOVRITSCH;SI;;;;
novritsch-ssp-1;Novritsch SSP 1;Marcadoras > Pistolas;;;;;;;603000.00;;;;;;1;RR0006;;SI;NO;<p>Pistola <strong>Novritsch SSP1</strong> GBB. Corredera robusta de alto retroceso, compatible con CO2 y gases fuertes. Cañón roscado incluido.</p><ul><li>Sistema: Gas Blowback (GBB)</li><li>Compatibilidad: Green Gas / CO2</li><li>Capacidad: 31 BBs</li><li>Cañón: roscado</li></ul>;Novritsch,Marcadoras;;;NOVRITSCH;SI;;;;
novritsch-ssr9-dsg;Novritsch - SSR9 – Dsg;Marcadoras > Primarias;;;;;;;960000.00;;;;;;1;RR0004;;SI;NO;<p>Marcadora <strong>Novritsch SSR9 DSG</strong> AEG con engranaje de doble sector (DSG) preinstalado. Cadencia de hasta 36 disparos por segundo para CQB extremo.</p><ul><li>Sistema: AEG con DSG</li><li>Cadencia: hasta 36 rps</li><li>Uso: CQB</li></ul>;Novritsch,Marcadoras;;;;SI;;;;
novritsch-ssr-4-mk-2;Novritsch - SSR 4 Mk 2;Marcadoras > Primarias;;;;;;;1065000.00;;;;;;10;RR0002;;SI;NO;<p>Marcadora <strong>Novritsch SSR4 Mk 2</strong> AEG estilo M4. Construcción de metal sólido, gatillo modular ajustable y cámara de Hop-Up rotativa.</p><ul><li>Sistema: AEG</li><li>Material: metal sólido</li><li>Hop-Up: rotativo ajustable</li><li>Gatillo: modular ajustable</li></ul>;Novritsch,Marcadoras;;;;SI;;;;
mira-red-dot-romeo-5-sig-sauer;Mira Red Dot Romeo 5 SIG Sauer;Ópticas y miras;;;;;;;140000.00;;;;;;24;RR0104;;SI;NO;<p>Punto rojo <strong>SIG Sauer Romeo 5</strong> compacto. Retícula nítida con múltiples niveles de brillo. Construcción en aleación con acabado anticorrosión.</p><ul><li>Tipo: punto rojo</li><li>Montura: riel Picatinny</li><li>Batería: CR2032</li></ul>;SIG Sauer,Ópticas y miras;;;;SI;;;;
mira-red-dot-v3;Mira Red Dot - V3;Ópticas y miras;;;;;;;207000.00;;;;;;10;RR0039;;SI;NO;<p>Mira red dot V3 con tapa de lexan protectora contra impactos de BBs. Punto ajustable en X e Y, 11 niveles de brillo. Compatible con riel Picatinny, dos monturas incluidas (básica y elevada).</p><ul><li>Montura: riel Picatinny</li><li>Protección: tapa Lexan anti-BB</li><li>Brillo: 11 niveles</li><li>Ajuste: X e Y</li><li>Carcasa: goma antirayaduras</li></ul>;Ópticas y miras;;;;SI;;;;
mira-de-punto-rojo-armadillo-1x20-mm-romeo5-negro;Mira de Punto Rojo Armadillo 1X20 mm Romeo5 Negro;Ópticas y miras;;;;;;;135000.00;;;;;;1;RR0054;;SI;NO;<p>Punto rojo <strong>Armadillo 1×20 mm Romeo5</strong> de 2 MOA. Batería CR2032 con duración superior a 40.000 horas. Incluye monturas de perfil bajo y elevado tipo M1913.</p><ul><li>Retícula: punto rojo 2 MOA</li><li>Batería: CR2032</li><li>Duración: +40.000 horas</li><li>Brillo: 8 niveles día + 2 NV</li><li>Ajuste total: 100 MOA</li><li>Peso: 5,1 oz</li></ul>;Armadillo,Ópticas y miras;;;;SI;;;;
mesh;Mesh;Protección > Máscaras;;;;;;;25000.00;;;;;;11;RR0103;;SI;NO;<p>Media máscara tipo mesh para protección facial en airsoft. Estructura de malla metálica que cubre desde la nariz hasta el mentón. Liviana y con buena ventilación.</p><ul><li>Material: malla metálica</li><li>Cobertura: nariz y boca</li></ul>;Protección;;;;SI;;;;
mascara-profesional;Máscara Profesional;Protección > Máscaras;;;;;;;49100.00;;;;;;5;RR0062;;SI;NO;<p>Máscara profesional de protección facial completa para airsoft. Cubre ojos, nariz y boca con lente integrada y ventilación. Diseño ergonómico con correa ajustable.</p><ul><li>Cobertura: rostro completo</li><li>Material: polímero + lente</li></ul>;Protección;;;MARG;SI;;;;
mascara-cubrejeta;Máscara Cubrejeta;Protección > Máscaras;;;;;;;26400.00;;;;;;3;RR0061;;SI;NO;<p>Máscara cubrejeta para airsoft. Cubre el rostro completo incluyendo la zona de la nuca lateral. Liviana con ajuste mediante correas.</p><ul><li>Cobertura: rostro completo</li><li>Fijación: correas ajustables</li></ul>;Protección;;;MARG;SI;;;;
mascara-clasica;Máscara Clasica;Protección > Máscaras;;;;;;;47700.00;;;;;;3;RR0060;;SI;NO;<p>Máscara clásica de protección completa para airsoft. Diseño estándar con protección de ojos, nariz y boca. Liviana y con sistema de sujeción ajustable.</p><ul><li>Cobertura: rostro completo</li><li>Material: polímero</li></ul>;Protección;;;MARG;SI;;;;
mascara-bucal;Máscara Bucal;Protección > Máscaras;;;;;;;18300.00;;;;;;3;RR0059;;SI;NO;<p>Máscara bucal para airsoft. Cubre y protege la zona de la boca y el mentón. Diseño liviano complementario a antiparras o gafas balísticas.</p><ul><li>Cobertura: boca y mentón</li><li>Material: polímero o malla metálica</li></ul>;Protección;;;MARG;SI;;;;
magnificador-armadillo-2x-g45-negro;Magnificador Armadillo 2X G45 Negro;Ópticas y miras;;;;;;;120.00;;;;;;0;RR0055;;SI;NO;<p>Magnificador <strong>Armadillo G45 2×</strong>. Compatible con todos los modelos HWS Armadillo. Resistente al agua hasta 10 m. Montura Weaver o MIL-STD-1913.</p><ul><li>Aumento: 5× fijo</li><li>Resistencia al agua: 10 m</li><li>Montura: Weaver / MIL-STD-1913</li><li>Dimensiones: 99 × 58,4 × 83,8 mm</li><li>Peso: 362,9 g</li><li>Rango de temperatura: -40 °C a +60 °C</li></ul>;Armadillo,Ópticas y miras;;;;SI;;;;
mag-pts-250-rondas-para-m4-y-m16;Mag PTS 250 Rondas para M4 y M16;Cargadores > De marcadora;;;;;;;77500.00;;;;;;10;RR0116;;SI;NO;<p>Cargador <strong>PTS EPM1</strong> de polímero para AEG M4/M16. Capacidad de ~250 BBs con ventana indicadora de carga. Desarrollado en colaboración con Odin Innovations.</p><ul><li>Compatibilidad: M4 / M16 AEG</li><li>Capacidad: ~250 BBs</li><li>Indicador de carga: ventana lateral</li><li>Material: polímero</li></ul>;PTS,Cargadores;;;;SI;;;;
mag-pts-150-rondas-para-m4-y-m16-negro;Mag PTS 150 Rondas para M4 y M16 Negro;Cargadores > De marcadora;;;;;;;52500.00;;;;;;1;RR0098;;SI;NO;<p>Cargador <strong>PTS EPM 150R</strong> para AEG M4/M16 en negro. Polímero Dupont Zytel de alto rendimiento con interior transparente para inspección. Incluye indicador de BBs y base compatible con PMAG Ranger Plate.</p><ul><li>Compatibilidad: M4 / M16 AEG</li><li>Capacidad: 150 BBs</li><li>Material: Dupont Zytel</li><li>Interior: transparente</li><li>Color: negro</li></ul>;PTS,Cargadores;;;;SI;;;;
mag-kwa-mp9;Mag KWA MP9;Cargadores > De marcadora;;;;;;;198000.00;;;;;;2;RR0102;;SI;NO;<p>Cargador de repuesto para <strong>KWA KMP9</strong> GBB. Capacidad de 48 BBs, alimentado por Green Gas. Compatible exclusivamente con la línea KMP9/KMP9R de KWA.</p><ul><li>Compatibilidad: KWA KMP9 / KMP9R</li><li>Sistema: Green Gas GBB</li><li>Capacidad: 48 BBs</li><li>Calibre: 6 mm BB</li></ul>;KWA,Cargadores;;;;SI;;;;
luz-tactica-de-rifle-1800-lumenes-con-interruptor-ezshoot;Luz Tactica de Rifle 1800 lúmenes con Interruptor EZShoot;Iluminación;;;;;;;142500.00;;;;;;12;RR0085;;SI;NO;<p>Linterna táctica <strong>EZShoot 1800 lúmenes</strong> para marcadoras primarias. Alcance de haz ~300 m, autonomía 2,5 horas, protección IPX7. Compatible con riel Picatinny.</p><ul><li>Potencia: 1.800 lúmenes</li><li>Alcance: ~300 m</li><li>Autonomía: 2,5 h</li><li>Protección: IPX7</li><li>Interruptor: remoto incluido</li></ul>;EZShoot,Iluminación;;;;SI;;;;
luz-de-pistola-800-lumenes-linterna-compacta-ajustable-gmconn;Luz de Pistola 800 lúmenes, Linterna Compacta Ajustable GMConn;Iluminación;;;;;;;61500.00;;;;;;10;RR0089;;SI;NO;"<p>Linterna compacta <strong>GMConn GM-1085</strong> de 800 lúmenes para pistola. Sistema de riel ajustable, perfil ultra bajo (1,25"") y batería recargable integrada con indicador de carga.</p><ul><li>Potencia: 800 lúmenes</li><li>Altura: 1,25""</li><li>Peso: 1,58 oz</li><li>Batería: recargable integrada (USB)</li><li>Montaje: riel ajustable</li></ul>";GMConn,Iluminación;;;;SI;;;;
